no_of_iteration,test_error,training_error
27650.0,0.1822156831622124,0.17155847139656544
27700.0,0.1823079325258732,0.17142693838104606
27750.0,0.1824029628187418,0.17129264120012522
27800.0,0.1824820563197136,0.17115189787000418
27850.0,0.18256131187081331,0.1710157161578536
27900.0,0.18264738656580448,0.1708886157721281
27950.0,0.18273022584617132,0.17075210716575384
28000.0,0.18280488438904285,0.17061021644622087
28050.0,0.1829166803508997,0.1704814089462161
28100.0,0.1830089036375284,0.17034476762637496
28150.0,0.18309944309294224,0.17020593164488673
28200.0,0.18318245559930801,0.17007184401154518
28250.0,0.18326581828296185,0.16993748815730214
28300.0,0.1833508741110564,0.1697988212108612
28350.0,0.1834418810904026,0.1696679019369185
28400.0,0.18353734351694584,0.16953809699043632
28450.0,0.1836405377835036,0.1694111181423068
28500.0,0.18373863771557808,0.1692760931327939
28550.0,0.1838382352143526,0.16913989325985312
28600.0,0.1839280854910612,0.1690065572038293
28650.0,0.1840127352625132,0.1688776481896639
28700.0,0.1840912513434887,0.16873826552182436
28750.0,0.1841788198798895,0.16861199168488386
28800.0,0.1842589303851128,0.16848824732005596
28850.0,0.1843432113528252,0.16834792401641607
28900.0,0.1844261959195137,0.16821812745183706
28950.0,0.18451503291726112,0.16810040967538953
29000.0,0.18459514528512955,0.16796509828418493
29050.0,0.18468298949301248,0.1678224103525281
29100.0,0.18478004448115826,0.16769460262730718
29150.0,0.18488433957099915,0.16756311058998108
29200.0,0.18498118221759804,0.16742949606850746
29250.0,0.1850832011550665,0.1673106704838574
29300.0,0.18517915904521945,0.167178837582469
29350.0,0.1852774433791637,0.167040741071105
29400.0,0.1853773761540652,0.16691568866372108
29450.0,0.1854791641235352,0.16678859014064076
29500.0,0.18557815812528133,0.16666887793689966
29550.0,0.18567169271409512,0.16652436880394814
29600.0,0.18576938472688198,0.16639449913054705
29650.0,0.1858625914901495,0.16627109795808792
29700.0,0.1859455034136772,0.16613251389935613
29750.0,0.18602936528623104,0.16603565774857998
29800.0,0.18612194992601871,0.16589217213913798
29850.0,0.1862112246453762,0.16576310573145747
29900.0,0.18630474247038364,0.16563231823965907
29950.0,0.18640030547976494,0.16552380472421646
30000.0,0.18650466203689567,0.16541969403624535
30050.0,0.1611925456672907,0.17334522819146514
30100.0,0.16187343373894691,0.1728474018163979
30150.0,0.16244772635400295,0.17245359905064106
30200.0,0.16297007352113724,0.172128698322922
30250.0,0.16341041028499606,0.17180838761851192
30300.0,0.16386539302766326,0.1715456023812294
30350.0,0.1642405241727829,0.17126385541632771
30400.0,0.16461695358157158,0.17103532934561372
30450.0,0.16494930908083916,0.17077973438426852
30500.0,0.16529040411114693,0.17058194428682327
30550.0,0.16558604687452316,0.17035937123000622
30600.0,0.16588977724313736,0.1701546348631382
30650.0,0.1661957297474146,0.1699567185714841
30700.0,0.16646894440054893,0.16973816603422165
